,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
107,1990-04-18,,140.52032967032977,11.065934065934064,23.71153846153846,98.81043956043956,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-18 Illinois DuPage
108,1990-04-19,,137.92690217391322,13.627717391304351,23.33423913043478,97.2391304347826,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-19 Illinois DuPage
109,1990-04-20,,145.80710382513664,11.868852459016392,23.838797814207645,99.3387978142076,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-20 Illinois DuPage
110,1990-04-21,,156.63559782608692,12.244565217391298,23.722826086956523,98.85326086956525,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-21 Illinois DuPage
111,1990-04-22,,153.1453551912569,11.368852459016404,23.642076502732245,98.52185792349732,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-22 Illinois DuPage
112,1990-04-23,,146.76059782608698,12.644021739130425,23.513586956521745,97.98913043478264,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-23 Illinois DuPage
113,1990-04-24,,148.27178082191782,11.621917808219177,23.649315068493145,98.55616438356164,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-24 Illinois DuPage
114,1990-04-25,,140.81634877384187,11.09264305177112,23.444141689373307,97.70572207084466,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-25 Illinois DuPage
115,1990-04-26,,159.42712328767126,11.449315068493148,23.545205479452058,98.11506849315067,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-26 Illinois DuPage
116,1990-04-27,,161.87275204359696,13.340599455040875,23.419618528610336,97.59128065395096,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-27 Illinois DuPage
117,1990-04-28,,159.9518105849582,12.027855153203353,23.495821727019504,97.90529247910872,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-28 Illinois DuPage
118,1990-04-29,,143.3209631728045,11.490084985835695,23.71954674220964,98.83286118980172,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-29 Illinois DuPage
119,1990-04-30,,146.63988919667588,11.62603878116344,23.462603878116347,97.76731301939056,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-30 Illinois DuPage
120,1990-05-01,,151.214480874317,11.4344262295082,23.64754098360654,98.56284153005458,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-01 Illinois DuPage
121,1990-05-02,,154.74456521739123,11.828804347826072,23.736413043478255,98.91304347826078,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-02 Illinois DuPage
122,1990-05-03,,147.41758241758217,12.604395604395606,23.708791208791222,98.79945054945058,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-03 Illinois DuPage
123,1990-05-04,,159.06494565217378,12.035326086956518,23.673913043478247,98.6576086956522,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-04 Illinois DuPage
124,1990-05-05,,170.3398907103824,10.928961748633885,23.86612021857923,99.44808743169396,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-05 Illinois DuPage
125,1990-05-06,,171.51346153846166,11.722527472527474,23.722527472527496,98.84065934065934,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-06 Illinois DuPage
126,1990-05-07,,149.94223433242507,11.09264305177112,23.299727520435987,97.10899182561307,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-07 Illinois DuPage
127,1990-05-08,,147.67847411444157,11.405994550408716,23.51226158038145,97.98637602179838,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-08 Illinois DuPage
128,1990-05-09,,164.5530054644809,14.38251366120218,23.658469945355197,98.59289617486333,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-09 Illinois DuPage
129,1990-05-10,,153.48763736263743,12.491758241758244,23.749999999999982,98.97802197802206,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-10 Illinois DuPage
130,1990-05-11,,154.33278688524584,11.88251366120219,23.469945355191264,97.79234972677598,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-11 Illinois DuPage
131,1990-05-12,,151.90476190476187,10.504201680672278,23.831932773109227,99.3053221288516,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-12 Illinois DuPage
132,1990-05-13,,154.38028169014092,11.509859154929575,23.876056338028157,99.48732394366192,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-13 Illinois DuPage
133,1990-05-14,,149.75955678670366,12.049861495844873,23.645429362880886,98.53739612188367,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-14 Illinois DuPage
134,1990-05-15,,149.39473684210537,11.531855955678658,23.54570637119112,98.13296398891968,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-15 Illinois DuPage
135,1990-05-16,,158.3061971830986,12.005633802816895,23.6225352112676,98.4338028169014,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-16 Illinois DuPage
136,1990-05-17,,148.69833795013847,11.360110803324094,23.51246537396124,97.97783933517998,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-17 Illinois DuPage
137,1990-05-18,,147.48732782369157,12.490358126721762,23.845730027548186,99.3719008264463,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-18 Illinois DuPage
138,1990-05-19,,150.37624309392277,12.709944751381222,23.906077348066297,99.61049723756908,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-19 Illinois DuPage
139,1990-05-20,,155.16923076923072,11.362637362637368,23.840659340659343,99.34340659340651,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-20 Illinois DuPage
140,1990-05-21,,149.49534246575328,12.202739726027394,23.893150684931516,99.56712328767122,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-21 Illinois DuPage
141,1990-05-22,,167.9727520435969,11.220708446866489,23.465940054495903,97.79291553133515,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-22 Illinois DuPage
142,1990-05-23,,147.04114441416883,12.37874659400545,23.45231607629428,97.74931880108984,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-23 Illinois DuPage
143,1990-05-24,,150.06195652173903,11.48369565217391,23.581521739130437,98.27173913043484,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-24 Illinois DuPage
144,1990-05-25,,147.4293478260867,12.366847826086955,23.59510869565217,98.33152173913044,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-25 Illinois DuPage
145,1990-05-26,,149.93950953678467,11.430517711171664,23.43324250681199,97.65122615803814,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-26 Illinois DuPage
146,1990-05-27,,147.5456824512535,11.292479108635108,23.48189415041783,97.8551532033426,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-27 Illinois DuPage
147,1990-05-28,,153.22922636103155,12.888252148997132,23.8051575931232,99.1919770773639,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-28 Illinois DuPage
148,1990-05-29,,148.23473389355755,13.145658263305323,23.24089635854341,96.8627450980392,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-29 Illinois DuPage
149,1990-05-30,,149.39075630252094,11.837535014005596,23.523809523809533,98.0448179271708,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-30 Illinois DuPage
150,1990-05-31,,148.49721448467977,12.512534818941496,23.51532033426183,98.00557103064062,Illinois,DuPage,Lisle,Illinois DuPage,1990-05-31 Illinois DuPage
151,1990-06-01,,144.96067415730346,12.132022471910108,23.438202247190997,97.67696629213488,Illinois,DuPage,Lisle,Illinois DuPage,1990-06-01 Illinois DuPage
